Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Collection
t-shirt-supporter-maroc-atlas-lions-vintage,"T-shirt Supporter Maroc — Atlas Lions Vintage","<div class=""product-description""><h2>Dima Maghrib — Porte ta fierte marocaine</h2><p>Il y a des matchs qu'on n'oublie jamais. Le rugissement du stade quand les Lions de l'Atlas entrent sur la pelouse. Les frissons quand le drapeau rouge et vert envahit les tribunes. Ce t-shirt, c'est tout ca — l'emotion d'un peuple de supporters grave dans un design vintage qui traverse les generations.</p><p>Inspire du style <strong>varsity retro americain</strong> revisite aux couleurs du Maroc, ce t-shirt rend hommage a la fierte des supporters marocains du monde entier. De Casablanca a Paris, de Bruxelles a Montreal — peu importe ou la vie t'a emmene, tes racines restent dans ton coeur.</p><h3>Un design qui raconte une histoire</h3><p>La typographie collegiate ""MOROCCO"" en lettrage bold evoque les grandes heures du football universitaire americain, fusionnee avec les couleurs emblematiques rouge et vert du drapeau marocain. L'etoile verte au centre rappelle le symbole national, tandis que la texture distressed donne ce cachet vintage authentique. En dessous, ""Football Supporter Club"" affirme ton appartenance a la communaute des vrais supporters.</p><h3>Qualite premium, fabrique en Europe</h3><ul><li><strong>Coton premium 180g/m2</strong> — Toucher doux, tenue impeccable meme apres 50 lavages</li><li><strong>Impression DTG haute definition</strong> — Couleurs vibrantes qui ne s'effacent pas</li><li><strong>Coupe unisexe reguliere</strong> — Confortable pour le match comme pour le quotidien</li><li><strong>Fabrique et imprime en Europe</strong> via Gelato — Livraison rapide 2-5 jours ouvrables</li><li><strong>6 tailles disponibles</strong> : XS, S, M, L, XL, 2XL</li></ul><h3>Pour qui ?</h3><p>Pour toi qui cries ""One Two Three Viva l'Maroc"" devant chaque match. Le cadeau parfait pour la <strong>Coupe du Monde 2026</strong>.</p><p><em>Design original independant, non affilie aux federations de football officielles.</em></p></div>",Nation Varsity,T-shirt,"t-shirt maroc, t-shirt supporter maroc, atlas lions, dima maghrib, maillot maroc vintage, cadeau fan maroc, coupe du monde 2026, t-shirt football maroc, fierte marocaine, t-shirt retro foot, t-shirt vintage varsity, diaspora marocaine, cadeau supporter",TRUE,Taille,XS,NV-TSH-MAR-XS,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,1,T-shirt Supporter Maroc Atlas Lions Vintage Varsity,"T-shirt Supporter Maroc — Atlas Lions Vintage | Nation Varsity","T-shirt supporter Maroc au design retro varsity. Dima Maghrib ! Coton premium, coupe unisexe XS-2XL. Collection Coupe du Monde 2026. Livraison Europe 2-5 jours.","Maroc, Coupe du Monde 2026, Nouveautes"
t-shirt-supporter-maroc-atlas-lions-vintage,,,,,,,,S,NV-TSH-MAR-S,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-maroc-atlas-lions-vintage,,,,,,,,M,NV-TSH-MAR-M,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-maroc-atlas-lions-vintage,,,,,,,,L,NV-TSH-MAR-L,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-maroc-atlas-lions-vintage,,,,,,,,XL,NV-TSH-MAR-XL,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-maroc-atlas-lions-vintage,,,,,,,,2XL,NV-TSH-MAR-2XL,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-algerie-fennecs-vintage,"T-shirt Supporter Algerie — Fennecs Vintage","<div class=""product-description""><h2>One Two Three Viva l'Algerie — Le maillot de la fierte</h2><p>Quand les Fennecs jouent, tout s'arrete. Les terrasses de Barbes vibrent, les salons de Marseille s'enflamment, les rues de Bruxelles se colorent de vert et blanc. Ce t-shirt capture cette energie brute — celle d'une communaute de supporters qui vit le football comme une fete, une communion, un cri du coeur.</p><p>Avec son design <strong>vintage varsity</strong> aux couleurs de l'Algerie, ce t-shirt depasse le simple vetement de supporter. C'est une declaration d'amour a tes origines, un hommage aux Fennecs legendaires, et un symbole de fierte que tu portes au quotidien.</p><h3>Le detail du design</h3><p>La typographie bold ""ALGERIA"" s'impose en lettrage collegiate sur fond de vert profond et de rouge, les couleurs sacrees du drapeau algerien. Le croissant et l'etoile s'integrent subtilement au design avec une finition distressed qui donne ce rendu retro inimitable. Le sous-titre ""Football Supporter Club"" scelle ton appartenance.</p><h3>Qualite et confort au rendez-vous</h3><ul><li><strong>Coton premium 180g/m2</strong> — Epais et confortable</li><li><strong>Impression DTG longue duree</strong> — Couleurs eclatantes lavage apres lavage</li><li><strong>Coupe unisexe classique</strong> — Parfait seul ou sous une veste</li><li><strong>Production europeenne</strong> — Livre en 2-5 jours ouvrables</li><li><strong>Tailles XS a 2XL</strong></li></ul><h3>L'idee cadeau qui fait mouche</h3><p>Le cadeau ideal pour chaque supporter algerien — surtout a l'approche de la <strong>Coupe du Monde 2026</strong>.</p><p><em>Design original independant, non affilie aux federations de football officielles.</em></p></div>",Nation Varsity,T-shirt,"t-shirt algerie, t-shirt supporter algerie, fennecs, viva l'algerie, maillot algerie vintage, cadeau fan algerie, coupe du monde 2026, t-shirt football algerie, fierte algerienne, one two three, t-shirt retro foot, t-shirt vintage varsity, diaspora algerienne",TRUE,Taille,XS,NV-TSH-ALG-XS,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,1,T-shirt Supporter Algerie Fennecs Vintage Varsity,"T-shirt Supporter Algerie — Fennecs Vintage | Nation Varsity","T-shirt supporter Algerie au design retro varsity. One Two Three Viva l'Algerie ! Coton premium, toutes tailles XS-2XL. Coupe du Monde 2026. Livraison Europe rapide.","Algerie, Coupe du Monde 2026, Nouveautes"
t-shirt-supporter-algerie-fennecs-vintage,,,,,,,,S,NV-TSH-ALG-S,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-algerie-fennecs-vintage,,,,,,,,M,NV-TSH-ALG-M,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-algerie-fennecs-vintage,,,,,,,,L,NV-TSH-ALG-L,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-algerie-fennecs-vintage,,,,,,,,XL,NV-TSH-ALG-XL,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-algerie-fennecs-vintage,,,,,,,,2XL,NV-TSH-ALG-2XL,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-cote-divoire-elephants-vintage,"T-shirt Supporter Cote d'Ivoire — Les Elephants Vintage","<div class=""product-description""><h2>Akwaba Football — La puissance des Elephants sur ton torse</h2><p>La Cote d'Ivoire ne joue pas au football — elle danse avec le ballon. De Didier Drogba aux heros de la CAN 2024, les Elephants ecrivent une histoire de legende. Ce t-shirt celebre cette passion indomptable, ce feu qui brule d'Abidjan a Paris, de Yamoussoukro a Bruxelles.</p><p>Avec un design <strong>vintage varsity</strong> qui fusionne l'elegance du style retro americain et la puissance des couleurs ivoiriennes, ce t-shirt est bien plus qu'un vetement. C'est un pont entre tes racines et ta vie.</p><h3>Design et symbolique</h3><p>L'inscription ""IVORY COAST"" en typographie collegiate s'etale fierement en orange vif. L'elephant en silhouette minimaliste trone au centre. Le vert et le blanc du drapeau completent la palette, avec une texture usee qui apporte la patine vintage.</p><h3>Fabrique pour durer</h3><ul><li><strong>Coton epais 180g/m2</strong> — Robuste et doux a la fois</li><li><strong>Impression DTG professionnelle</strong> — Orange et vert vibrants sans craquelures</li><li><strong>Coupe unisexe confortable</strong> — Du XS au 2XL</li><li><strong>Made in Europe</strong> — Production Gelato, expedition 2-5 jours</li><li><strong>Entretien facile</strong> — Lavage machine 30 degres</li></ul><h3>Champions de la CAN, prets pour le Mondial</h3><p>Les Elephants visent les sommets a la <strong>Coupe du Monde 2026</strong>. Porte tes couleurs avec fierte.</p><p><em>Design original independant, non affilie aux federations de football officielles.</em></p></div>",Nation Varsity,T-shirt,"t-shirt cote d'ivoire, t-shirt supporter cote ivoire, les elephants, akwaba football, maillot cote ivoire vintage, cadeau fan cote ivoire, coupe du monde 2026, t-shirt football ivoire, civ football, t-shirt retro foot, t-shirt vintage varsity, cadeau supporter foot, ivory coast shirt",TRUE,Taille,XS,NV-TSH-CIV-XS,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,1,T-shirt Supporter Cote d'Ivoire Elephants Vintage Varsity,"T-shirt Supporter Cote d'Ivoire — Les Elephants | Nation Varsity","T-shirt supporter Cote d'Ivoire vintage varsity. Akwaba Football ! Coton premium, unisexe XS-2XL. Champions CAN 2024. Coupe du Monde 2026. Livraison Europe rapide.","Cote d'Ivoire, Coupe du Monde 2026, Nouveautes"
t-shirt-supporter-cote-divoire-elephants-vintage,,,,,,,,S,NV-TSH-CIV-S,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-cote-divoire-elephants-vintage,,,,,,,,M,NV-TSH-CIV-M,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-cote-divoire-elephants-vintage,,,,,,,,L,NV-TSH-CIV-L,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-cote-divoire-elephants-vintage,,,,,,,,XL,NV-TSH-CIV-XL,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-cote-divoire-elephants-vintage,,,,,,,,2XL,NV-TSH-CIV-2XL,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-france-cocorico-vintage,"T-shirt Supporter France — Cocorico Vintage","<div class=""product-description""><h2>Cocorico — Le style retro des vrais supporters</h2><p>1998, 2018 — les deux etoiles brillent dans la memoire collective. Les Champs-Elysees noirs de monde, les klaxons dans toute la France, les larmes de joie devant les ecrans. Ce t-shirt ne reproduit pas un maillot officiel — il capture un sentiment. Celui d'etre francais et de vibrer ensemble pour les Bleus.</p><p>Notre design <strong>vintage varsity</strong> aux couleurs Bleu Blanc Rouge reinvente l'esprit supporter avec une touche retro assumee. Un t-shirt de caractere pour les vrais supporters des Bleus.</p><h3>L'identite visuelle</h3><p>""FRANCE"" s'inscrit en lettrage collegiate bleu profond, encadre par les bandes tricolores iconiques. Le coq gaulois en silhouette epuree occupe le coeur du design. La finition distressed apporte ce grain vintage qui transforme un simple t-shirt en piece de caractere.</p><h3>La qualite Nation Varsity</h3><ul><li><strong>Coton premium 180g/m2</strong> — Confort toute la journee</li><li><strong>Impression DTG haute resolution</strong> — Bleu, blanc et rouge intenses</li><li><strong>Coupe unisexe moderne</strong> — Du XS au 2XL</li><li><strong>Fabrique en Europe</strong> — Production locale et responsable</li><li><strong>Livraison express</strong> — 2-5 jours ouvrables en Europe</li></ul><h3>Le t-shirt des soirees de match</h3><p>Ton uniforme de supporter pour la <strong>Coupe du Monde 2026</strong>. Et quand les Bleus ne jouent pas, un t-shirt premium au design unique pour le quotidien.</p><p><em>Design original independant. Non affilie a la Federation Francaise de Football.</em></p></div>",Nation Varsity,T-shirt,"t-shirt france football, t-shirt supporter france, cocorico, vive la france, maillot france vintage, cadeau fan foot france, coupe du monde 2026, les bleus supporter, bleu blanc rouge, t-shirt retro foot, t-shirt vintage varsity, cadeau supporter foot, t-shirt equipe france",TRUE,Taille,XS,NV-TSH-FRA-XS,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,1,T-shirt Supporter France Cocorico Vintage Varsity,"T-shirt Supporter France — Cocorico Vintage | Nation Varsity","T-shirt supporter France au design retro varsity. Cocorico ! Coton premium, coupe unisexe XS-2XL. Collection Coupe du Monde 2026. Livraison Europe 2-5 jours.","France, Coupe du Monde 2026, Nouveautes"
t-shirt-supporter-france-cocorico-vintage,,,,,,,,S,NV-TSH-FRA-S,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-france-cocorico-vintage,,,,,,,,M,NV-TSH-FRA-M,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-france-cocorico-vintage,,,,,,,,L,NV-TSH-FRA-L,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-france-cocorico-vintage,,,,,,,,XL,NV-TSH-FRA-XL,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-france-cocorico-vintage,,,,,,,,2XL,NV-TSH-FRA-2XL,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-bresil-selecao-vintage,"T-shirt Supporter Bresil — Selecao Vintage","<div class=""product-description""><h2>Viva Brasil — Le jeu bonito en version retro</h2><p>Le Bresil, c'est plus qu'une equipe — c'est une philosophie. Le jogo bonito, l'art de faire danser le ballon, l'audace de tenter l'impossible. Cinq etoiles et un style de jeu qui a fait rever la planete entiere. Ce t-shirt celebre cette magie unique — celle du pays qui a invente le football-spectacle.</p><p>Dans un style <strong>vintage varsity</strong> aux couleurs eclatantes du Bresil, ce design fusionne l'esthetique retro collegiale avec l'ame du futebol. Jaune soleil, vert tropical, bleu profond — les couleurs de la Selecao n'ont jamais ete aussi belles.</p><h3>Le design en detail</h3><p>""BRASIL"" s'affiche en lettrage collegiate bold, baigne dans le jaune or iconique. Un toucan aux couleurs tropicales et des feuilles exotiques en silhouette subtile rappellent la biodiversite bresilienne. L'ensemble en texture distressed evoque les affiches de matchs mythiques des annees 70.</p><h3>Du coton premium, pas du polyester</h3><ul><li><strong>Coton epais 180g/m2</strong> — Confort naturel</li><li><strong>Impression DTG premium</strong> — Jaune et vert eclatants</li><li><strong>Coupe unisexe equilibree</strong> — Du XS au 2XL</li><li><strong>Production locale en Europe</strong> — Expedition 2-5 jours via Gelato</li><li><strong>Entretien simple</strong> — Machine 30 degres</li></ul><h3>Pour les amoureux du beau jeu</h3><p>Porte-le pour la <strong>Coupe du Monde 2026</strong>, en terrasse l'ete, ou pour dire au monde que le football c'est d'abord du plaisir.</p><p><em>Design original independant, non affilie a la CBF.</em></p></div>",Nation Varsity,T-shirt,"t-shirt bresil football, t-shirt supporter bresil, selecao, viva brasil, maillot bresil vintage, cadeau fan bresil, coupe du monde 2026, samba football, futebol arte, t-shirt retro foot, t-shirt vintage varsity, cadeau supporter foot, brazil football shirt",TRUE,Taille,XS,NV-TSH-BRA-XS,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,1,T-shirt Supporter Bresil Selecao Vintage Varsity,"T-shirt Supporter Bresil — Selecao Vintage | Nation Varsity","T-shirt supporter Bresil au design retro varsity. Viva Brasil ! Coton premium, toutes tailles XS-2XL. Collection Coupe du Monde 2026. Livraison Europe 2-5 jours.","Bresil, Coupe du Monde 2026, Nouveautes"
t-shirt-supporter-bresil-selecao-vintage,,,,,,,,S,NV-TSH-BRA-S,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-bresil-selecao-vintage,,,,,,,,M,NV-TSH-BRA-M,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
